Site Name ,LIZ E - SA
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14727


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

592,26/07/2021 , 18:00:00,2561,2561
593,26/07/2021 , 18:15:00,2021,2021
594,26/07/2021 , 18:30:00,1647,1647
595,26/07/2021 , 18:45:00,1342,1342
596,26/07/2021 , 19:00:00,1063,1063
597,26/07/2021 , 19:15:00,809,809
598,26/07/2021 , 19:30:00,617,617
599,26/07/2021 , 19:45:00,451,451
600,26/07/2021 , 20:00:00,316,316
601,26/07/2021 , 20:15:00,205,205
602,26/07/2021 , 20:30:00,123,123
603,26/07/2021 , 20:45:00,62,62
604,26/07/2021 , 21:00:00,21,21
605,26/07/2021 , 21:15:00,4,4
606,26/07/2021 , 21:30:00,1,1
607,26/07/2021 , 21:45:00,0,0
608,26/07/2021 , 22:00:00,0,0
609,26/07/2021 , 22:15:00,0,0
610,26/07/2021 , 22:30:00,0,0
611,26/07/2021 , 22:45:00,0,0
612,26/07/2021 , 23:00:00,0,0
613,26/07/2021 , 23:15:00,0,0
614,26/07/2021 , 23:30:00,0,0
615,26/07/2021 , 23:45:00,0,0
616,26/07/2021 , 24:00:00,0,0
