Date,Time,Abs Pres (kPa) c:1 2
07/28/21,16:00:00,110.122
07/28/21,16:15:00,110.873
07/28/21,16:30:00,111.807
07/28/21,16:45:00,112.864
07/28/21,17:00:00,114.059
07/28/21,17:15:00,115.388
07/28/21,17:30:00,116.773
07/28/21,17:45:00,118.158
07/28/21,18:00:00,119.529
07/28/21,18:15:00,120.759
07/28/21,18:30:00,121.950
07/28/21,18:45:00,123.123
07/28/21,19:00:00,124.372
07/28/21,19:15:00,125.488
07/28/21,19:30:00,126.564
07/28/21,19:45:00,127.689
07/28/21,20:00:00,128.664
07/28/21,20:15:00,129.574
07/28/21,20:30:00,130.335
07/28/21,20:45:00,130.984
07/28/21,21:00:00,131.510
07/28/21,21:15:00,131.927
07/28/21,21:30:00,132.175
07/28/21,21:45:00,132.345
07/28/21,22:00:00,132.376
07/28/21,22:15:00,132.303
07/28/21,22:30:00,132.076
07/28/21,22:45:00,131.766
07/28/21,23:00:00,131.411
07/28/21,23:15:00,130.901
07/28/21,23:30:00,130.205
07/28/21,23:45:00,129.469
07/29/21,00:00:00,128.636
07/29/21,00:15:00,127.649
07/29/21,00:30:00,126.760
07/29/21,00:45:00,125.775
07/29/21,01:00:00,124.898
07/29/21,01:15:00,124.067
07/29/21,01:30:00,123.216
07/29/21,01:45:00,122.438
07/29/21,02:00:00,121.660
07/29/21,02:15:00,120.939
07/29/21,02:30:00,120.230
07/29/21,02:45:00,119.663
07/29/21,03:00:00,119.234
07/29/21,03:15:00,118.836
07/29/21,03:30:00,118.499
07/29/21,03:45:00,118.319
07/29/21,04:00:00,118.136
07/29/21,04:15:00,117.964
07/29/21,04:30:00,117.811
07/29/21,04:45:00,117.780
07/29/21,05:00:00,117.857
07/29/21,05:15:00,118.067
07/29/21,05:30:00,118.427
07/29/21,05:45:00,118.714
07/29/21,06:00:00,118.955
07/29/21,06:15:00,119.441
07/29/21,06:30:00,119.885
07/29/21,06:45:00,120.360
07/29/21,07:00:00,121.050
07/29/21,07:15:00,121.618
07/29/21,07:30:00,122.059
07/29/21,07:45:00,122.351
07/29/21,08:00:00,122.474
07/29/21,08:15:00,122.597
07/29/21,08:30:00,122.689
07/29/21,08:45:00,122.827
07/29/21,09:00:00,122.954
07/29/21,09:15:00,123.154
07/29/21,09:30:00,122.939
07/29/21,09:45:00,122.789
07/29/21,10:00:00,122.497
07/29/21,10:15:00,122.194
07/29/21,10:30:00,121.753
07/29/21,10:45:00,121.200
07/29/21,11:00:00,120.867
07/29/21,11:15:00,120.476
07/29/21,11:30:00,119.912
07/29/21,11:45:00,119.257
07/29/21,12:00:00,118.679
07/29/21,12:15:00,117.967
07/29/21,12:30:00,117.252
07/29/21,12:45:00,116.457
07/29/21,13:00:00,115.791
07/29/21,13:15:00,115.173
07/29/21,13:30:00,114.600
07/29/21,13:45:00,113.976
07/29/21,14:00:00,113.548
07/29/21,14:15:00,113.219
