Date,Time,Abs Pres (kPa) c:1 2
07/27/21,11:45:00,112.747
07/27/21,12:00:00,111.844
07/27/21,12:15:00,110.959
07/27/21,12:30:00,110.136
07/27/21,12:45:00,109.336
07/27/21,13:00:00,108.520
07/27/21,13:15:00,107.777
07/27/21,13:30:00,107.095
07/27/21,13:45:00,106.526
07/27/21,14:00:00,106.109
07/27/21,14:15:00,105.891
07/27/21,14:30:00,106.068
07/27/21,14:45:00,106.514
07/27/21,15:00:00,107.032
07/27/21,15:15:00,107.532
07/27/21,15:30:00,108.134
07/27/21,15:45:00,108.806
07/27/21,16:00:00,109.698
07/27/21,16:15:00,110.764
07/27/21,16:30:00,111.984
07/27/21,16:45:00,113.421
07/27/21,17:00:00,114.927
07/27/21,17:15:00,116.461
07/27/21,17:30:00,117.953
07/27/21,17:45:00,119.394
07/27/21,18:00:00,120.949
07/27/21,18:15:00,122.533
07/27/21,18:30:00,124.049
07/27/21,18:45:00,125.640
07/27/21,19:00:00,127.156
07/27/21,19:15:00,128.478
07/27/21,19:30:00,129.564
07/27/21,19:45:00,130.598
07/27/21,20:00:00,131.588
07/27/21,20:15:00,132.512
07/27/21,20:30:00,133.388
07/27/21,20:45:00,134.087
07/27/21,21:00:00,134.457
07/27/21,21:15:00,134.468
07/27/21,21:30:00,134.206
07/27/21,21:45:00,133.887
07/27/21,22:00:00,133.518
07/27/21,22:15:00,133.195
07/27/21,22:30:00,132.938
07/27/21,22:45:00,132.630
07/27/21,23:00:00,132.184
07/27/21,23:15:00,131.615
07/27/21,23:30:00,130.801
07/27/21,23:45:00,129.880
07/28/21,00:00:00,128.953
07/28/21,00:15:00,128.019
07/28/21,00:30:00,127.096
07/28/21,00:45:00,126.266
07/28/21,01:00:00,125.455
07/28/21,01:15:00,124.732
07/28/21,01:30:00,124.097
07/28/21,01:45:00,123.581
07/28/21,02:00:00,123.168
07/28/21,02:15:00,122.740
07/28/21,02:30:00,122.435
07/28/21,02:45:00,122.114
07/28/21,03:00:00,121.808
07/28/21,03:15:00,121.564
07/28/21,03:30:00,121.411
07/28/21,03:45:00,121.369
07/28/21,04:00:00,121.415
07/28/21,04:15:00,121.537
07/28/21,04:30:00,121.793
07/28/21,04:45:00,122.141
07/28/21,05:00:00,122.473
07/28/21,05:15:00,122.885
07/28/21,05:30:00,123.248
07/28/21,05:45:00,123.646
07/28/21,06:00:00,124.055
07/28/21,06:15:00,124.525
07/28/21,06:30:00,125.045
07/28/21,06:45:00,125.534
07/28/21,07:00:00,125.962
07/28/21,07:15:00,126.283
07/28/21,07:30:00,126.413
07/28/21,07:45:00,126.417
07/28/21,08:00:00,126.264
07/28/21,08:15:00,126.034
07/28/21,08:30:00,125.747
07/28/21,08:45:00,125.349
